age,live,death,deathrate
0,1000000,453,0.000453
1,999547,288.869083,0.000289
2,999258.1309,183.8634961,0.000184
3,999074.2674,123.8852092,0.000124
4,998950.3822,94.90028631,0.000095
5,998855.4819,83.90386048,0.000084
6,998771.5781,77.90418309,0.000078
7,998693.6739,73.90333187,0.000074
8,998619.7706,71.90062348,0.000072
9,998547.8699,71.89544663,0.000072
10,998475.9745,73.88722211,0.000074
11,998402.0873,76.87696072,0.000077
12,998325.2103,79.86601682,0.00008
13,998245.3443,84.85085426,0.000085
14,998160.4934,89.83444441,0.00009
15,998070.659,94.8167126,0.000095
16,997975.8423,99.79758423,0.0001
17,997876.0447,104.7769847,0.000105
18,997771.2677,109.7548394,0.00011
19,997661.5129,114.731074,0.000115
20,997546.7818,119.7056138,0.00012
21,997427.0762,124.6783845,0.000125
22,997302.3978,128.6520093,0.000129
23,997173.7458,133.6212819,0.000134
24,997040.1245,138.5885773,0.000139
25,996901.5359,143.5538212,0.000144
26,996757.9821,148.5169393,0.000149
27,996609.4652,153.4778576,0.000154
28,996455.9873,159.432958,0.00016
29,996296.5543,166.3815246,0.000167
30,996130.1728,174.3227802,0.000175
31,995955.85,185.2477881,0.000186
32,995770.6023,197.1625792,0.000198
33,995573.4397,212.0571427,0.000213
34,995361.3825,229.9284794,0.000231
35,995131.454,251.7682579,0.000253
36,994879.6858,275.581673,0.000277
37,994604.1041,303.3542518,0.000305
38,994300.7499,335.0793527,0.000337
39,993965.6705,369.7552294,0.000372
40,993595.9153,407.3743253,0.00041
41,993188.541,446.9348434,0.00045
42,992741.6061,490.4143534,0.000494
43,992251.1918,535.8156436,0.00054
44,991715.3761,584.1203565,0.000589
45,991131.2558,634.3240037,0.00064
46,990496.9318,686.4143737,0.000693
47,989810.5174,742.357888,0.00075
48,989068.1595,802.1342774,0.000811
49,988266.0252,866.7093041,0.000877
50,987399.3159,938.0293501,0.00095
51,986461.2866,1017.041586,0.001031
52,985444.245,1103.697554,0.00112
53,984340.5474,1199.911127,0.001219
54,983140.6363,1306.593906,0.001329
55,981834.0424,1423.659361,0.00145
56,980410.383,1553.950457,0.001585
57,978856.4326,1699.294767,0.001736
58,977157.1378,1861.484348,0.001905
59,975295.6535,2045.194985,0.002097
60,973250.4585,2253.074811,0.002315
61,970997.3837,2486.7243,0.002561
62,968510.6594,2746.69623,0.002836
63,965763.9631,3029.601552,0.003137
64,962734.3616,3338.762766,0.003468
65,959395.5988,3679.282121,0.003835
66,955716.3167,4065.617211,0.004254
67,951650.6995,4510.824316,0.00474
68,947139.8752,5021.735618,0.005302
69,942118.1395,5599.008103,0.005943
70,936519.1314,6237.217415,0.00666
71,930281.914,6939.903079,0.00746
72,923342.011,7727.44929,0.008369
73,915614.5617,8639.739004,0.009436
74,906974.8227,9731.839847,0.01073
75,897242.9828,11064.80046,0.012332
76,886178.1823,12685.64068,0.014315
77,873492.5417,14617.02419,0.016734
78,858875.5175,16850.27878,0.019619
79,842025.2387,19342.16176,0.022971
80,822683.0769,22023.22597,0.02677
81,800659.851,24811.64812,0.030989
82,775848.2028,27618.64432,0.035598
83,748229.5585,30360.16257,0.040576
84,717869.396,32960.97332,0.045915
85,684908.4226,35352.23314,0.051616
86,649556.1895,37444.3161,0.057646
87,612111.8734,39226.57729,0.064084
88,572885.2961,40641.62868,0.070942
89,532243.6674,41643.27678,0.078241
90,490600.3906,42193.1054,0.086003
91,448407.2852,42261.93823,0.094249
92,406145.347,41833.78303,0.103002
93,364311.564,40905.26672,0.112281
94,323406.2973,39490.81955,0.122109
95,283915.4777,37630.15742,0.13254
96,246285.3203,35405.23879,0.143757
97,210880.0815,32892.86423,0.155979
98,177987.2173,30154.77234,0.169421
99,147832.4449,27245.66743,0.184301
100,120586.7775,24218.16605,0.200836
101,96368.61146,21128.04711,0.219242
102,75240.56434,18037.94717,0.239737
103,57202.61717,15017.8035,0.262537
104,42184.81367,12143.27828,0.287859
105,30041.53539,30041.53539,1.000000 
